BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,NEW DIST
650,2,4,4,,2,4,4,176500029,ECHO FREZCO FOREST HILL,1517,ROCK SPRING ROAD,FOREST HILL,21050,9/19/2017,368.6633333333333,9.216666666666667,39.5608485,-76.3695493,368.6633333333333,9.216666666666667,4
650,2,4,5,,2,4,5,176500006,KIYOMI SUSHI,1443,ROCK SPRING ROAD,BEL AIR,21014,3/3/2017,195,0,39.55745177777778,-76.36963822,195,0,498
650,2,5,2,,2,5,2,216500043,LEDO PIZZA OF BELAIR,331,BALTIMORE PIKE,BEL AIR,21014,12/21/2021,0,0,39.52984815,-76.3498868,0,0,437
650,2,5,4,,2,5,4,156500439,RAINBOW KING,554,BALTIMORE PIKE,BEL AIR,21014,12/21/2015,239.26,0,39.525434,-76.355616,239.26,0,5
650,2,6,2,,2,6,2,650657,FRIENDLY'S HARFORD MALL,696,BELAIR ROAD,BEL AIR,21014,6/7/2010,115.31333333333332,43.99,39.5081972,-76.3809161,115.31333333333332,43.99,32
650,1,2,8,,1,2,8,6501086,INDIA GARDEN,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015,3/31/2014,149,0,39.49734305,-76.32561232,149,0,459
650,1,3,2,,1,3,2,650996,LEMON N' GINGER,3491,MERCHANT BOULEVARD,ABINGDON,21009,3/29/2013,347.62,0,39.46703525,-76.30778879,347.62,0,17
650,1,5,8,,1,5,8,65065391,CHINA WOK,7916,HONEYGO BOULEVARD,NOTTINGHAM,21236,6/15/2004,181,0,39.3741892,-76.4722308,181,0,6
650,1,2,7,,1,2,7,236500011,LATITUDE SEAFOOD,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015-6094,3/6/2023,1663.4333333333332,674.4333333333333,39.49734305,-76.32561232,1663.4333333333332,674.4333333333333,1
650,2,5,5,,2,5,5,246500003,AKIRA RAMEN BEL AIR,111,NORTH TOLLGATE ROAD,BEL AIR,21014,1/9/2024,92.23666666666666,0,39.52408513,-76.36004888,92.23666666666666,0,17
650,1,16,1,,1,16,1,246500007,FLOCK,1415,WASHINGTON BOULEVARD,BALTIMORE,21230-1830,1/25/2024,106.85,31.516666666666666,39.2792382,-76.63690598,106.85,31.516666666666666,0
